Domain,Model,negative_count,neutral_count,positive_count,negative_correct_rate,neutral_correct_rate,positive_correct_rate,negative_as_neutral,negative_as_positive,neutral_as_negative,neutral_as_positive,positive_as_negative,positive_as_neutral
Financial News,CNN-LSTM (GloVe_Emb),91,432,204,35.16483516483517,89.35185185185185,50.98039215686274,27.472527472527474,37.362637362637365,2.7777777777777777,7.87037037037037,5.88235294117647,43.13725490196079
Financial News,CNN (GloVe_Emb),91,432,204,63.73626373626373,91.89814814814815,50.49019607843137,27.472527472527474,8.791208791208792,2.7777777777777777,5.324074074074074,5.88235294117647,43.627450980392155
Financial News,CNN (Learned_Emb),91,432,204,53.84615384615385,87.96296296296296,52.94117647058824,35.16483516483517,10.989010989010989,3.2407407407407405,8.796296296296296,5.392156862745098,41.66666666666667
Financial News,DistilBERT_Feature_Extractor__LR,91,432,204,84.61538461538461,75.69444444444444,67.64705882352942,7.6923076923076925,7.6923076923076925,7.4074074074074066,16.89814814814815,10.784313725490197,21.568627450980394
Financial News,DistilBERT_Full_FT,91,432,204,90.10989010989012,85.41666666666666,78.43137254901961,5.4945054945054945,4.395604395604396,5.324074074074074,9.25925925925926,2.941176470588235,18.627450980392158
Financial News,FinBERT_Full_FT,91,432,204,87.91208791208791,87.03703703703704,86.76470588235294,8.791208791208792,3.296703296703297,3.7037037037037033,9.25925925925926,1.4705882352941175,11.76470588235294
Financial News,LightGBM,91,432,204,68.13186813186813,82.87037037037037,62.745098039215684,16.483516483516482,15.384615384615385,5.324074074074074,11.805555555555555,7.352941176470589,29.901960784313726
Financial News,Linear_SVM,91,432,204,63.73626373626373,82.4074074074074,57.84313725490197,20.87912087912088,15.384615384615385,4.398148148148148,13.194444444444445,6.862745098039216,35.294117647058826
Financial News,Logistic_Regression,91,432,204,65.93406593406593,83.56481481481481,58.333333333333336,20.87912087912088,13.186813186813188,4.166666666666666,12.268518518518519,6.372549019607843,35.294117647058826
Financial News,LSTM (GloVe_Emb),91,432,204,0.0,86.11111111111111,38.72549019607843,40.65934065934066,59.34065934065934,0.0,13.88888888888889,0.0,61.274509803921575
Financial News,LSTM (Learned_Emb),91,432,204,0.0,81.94444444444444,65.19607843137256,18.681318681318682,81.31868131868131,0.0,18.055555555555554,0.0,34.80392156862745
Financial News,MLP (Avg_GloVe_Emb),91,432,204,34.065934065934066,86.11111111111111,47.549019607843135,24.175824175824175,41.75824175824176,4.62962962962963,9.25925925925926,6.372549019607843,46.07843137254902
Financial News,MLP (Avg_Learned_Emb),91,432,204,0.0,85.64814814814815,50.0,28.57142857142857,71.42857142857143,0.0,14.351851851851851,0.0,50.0
Financial News,Naive_Bayes,91,432,204,9.89010989010989,97.45370370370371,29.901960784313726,57.14285714285714,32.967032967032964,0.0,2.5462962962962963,0.0,70.09803921568627
Financial News,Random_Forest,91,432,204,65.93406593406593,88.19444444444444,44.6078431372549,27.472527472527474,6.593406593406594,6.481481481481481,5.324074074074074,11.76470588235294,43.627450980392155
Financial News,RNN (Learned_Emb),91,432,204,0.0,99.76851851851852,0.9803921568627451,100.0,0.0,0.0,0.23148148148148145,0.0,99.01960784313727
Financial News,RoBERTa_Full_FT,91,432,204,93.4065934065934,84.95370370370371,84.80392156862744,5.4945054945054945,1.098901098901099,4.166666666666666,10.87962962962963,0.49019607843137253,14.705882352941178
Financial News,RoBERTa_LoRA_FT,91,432,204,94.5054945054945,84.25925925925925,78.92156862745098,4.395604395604396,1.098901098901099,4.62962962962963,11.11111111111111,1.9607843137254901,19.11764705882353
